measurement,group,observation,variable
0.722388227,control,observation6,variable1
0.502448859,control,observation7,variable1
0.793209106,control,observation8,variable1
0.326215981,control,observation9,variable1
0.784117753,treatment,observation1,variable1
0.13872701,treatment,observation2,variable1
0.623400351,treatment,observation3,variable1
0.329348442,treatment,observation4,variable1
0.716743535,treatment,observation5,variable1
0.960833848,control,observation6,variable2
0.781492246,control,observation7,variable2
0.922326427,control,observation8,variable2
0.16707917,control,observation9,variable2
0.978588384,treatment,observation1,variable2
0.9993915,treatment,observation2,variable2
0.111487235,treatment,observation3,variable2
0.156850708,treatment,observation4,variable2
0.579358053,treatment,observation5,variable2
0.288135522,control,observation6,variable3
0.45765938,control,observation7,variable3
0.997910539,control,observation8,variable3
0.713863351,control,observation9,variable3
0.745767065,treatment,observation1,variable3
0.541455597,treatment,observation2,variable3
0.74555579,treatment,observation3,variable3
0.69780175,treatment,observation4,variable3
0.453681727,treatment,observation5,variable3
0.75781715,control,observation6,variable4
0.381339385,control,observation7,variable4
0.915256342,control,observation8,variable4
0.24162442,control,observation9,variable4
0.574729459,treatment,observation1,variable4
0.052084377,treatment,observation2,variable4
0.377870079,treatment,observation3,variable4
0.47444634,treatment,observation4,variable4
0.881001565,treatment,observation5,variable4
0.909488807,control,observation6,variable5
0.469112148,control,observation7,variable5
0.015628312,control,observation8,variable5
0.84322054,control,observation9,variable5
0.340320979,treatment,observation1,variable5
0.72581074,treatment,observation2,variable5
0.781183586,treatment,observation3,variable5
0.673046482,treatment,observation4,variable5
0.00389807,treatment,observation5,variable5
0.327028586,control,observation6,variable6
0.971855326,control,observation7,variable6
0.196768684,control,observation8,variable6
0.62263462,control,observation9,variable6
0.487334334,treatment,observation1,variable6
0.070678341,treatment,observation2,variable6
0.701898803,treatment,observation3,variable6
0.616580388,treatment,observation4,variable6
0.84390735,treatment,observation5,variable6
0.779014304,control,observation6,variable7
0.09712963,control,observation7,variable7
0.006005163,control,observation8,variable7
0.921951536,control,observation9,variable7
0.704132639,treatment,observation1,variable7
0.487744605,treatment,observation2,variable7
0.549097492,treatment,observation3,variable7
0.933441629,treatment,observation4,variable7
0.271548155,treatment,observation5,variable7
0.052830523,control,observation6,variable8
0.63917472,control,observation7,variable8
0.478364133,control,observation8,variable8
0.957319373,control,observation9,variable8
0.661544817,treatment,observation1,variable8
0.003909806,treatment,observation2,variable8
0.449136521,treatment,observation3,variable8
0.41670934,treatment,observation4,variable8
0.398501882,treatment,observation5,variable8
0.267998935,control,observation6,variable9
0.287444115,control,observation7,variable9
0.692680316,control,observation8,variable9
0.204935905,control,observation9,variable9
0.046944316,treatment,observation1,variable9
0.55736599,treatment,observation2,variable9
0.25955147,treatment,observation3,variable9
0.367970851,treatment,observation4,variable9
0.728782331,treatment,observation5,variable9
