"Observation"	"Variable"	"Group"	"Measurement"
"observation01"	1	"Control"	6.91474935498711
"observation02"	1	"Control"	6.92007665732031
"observation03"	1	"Control"	6.8861527093826
"observation04"	1	"Control"	6.51012408366448
"observation05"	1	"Control"	6.58410387754527
"observation06"	1	"Control"	7.62204100893485
"observation07"	1	"Control"	6.68795981334429
"observation08"	1	"Treatment"	7.68914100387935
"observation09"	1	"Treatment"	6.55193885522971
"observation10"	1	"Treatment"	7.19710854314499
"observation11"	1	"Treatment"	6.82885365783885
"observation12"	1	"Treatment"	7.46296945204074
"observation13"	1	"Treatment"	7.44428175423526
"observation14"	1	"Treatment"	7.12131413752981
"observation01"	2	"Control"	9.97758652797363
"observation02"	2	"Control"	9.54306891664039
"observation03"	2	"Control"	11.1996127289578
"observation04"	2	"Control"	9.78439815520763
"observation05"	2	"Control"	9.14712754246858
"observation06"	2	"Control"	10.8025323028958
"observation07"	2	"Control"	10.6325149177242
"observation08"	2	"Treatment"	8.98547447364643
"observation09"	2	"Treatment"	9.90233236517755
"observation10"	2	"Treatment"	9.60949951113686
"observation11"	2	"Treatment"	9.73873018246597
"observation12"	2	"Treatment"	10.1306488320454
"observation13"	2	"Treatment"	9.50645443788958
"observation14"	2	"Treatment"	9.69479849492024
"observation01"	3	"Control"	11.142228938757
"observation02"	3	"Control"	10.7158369418392
"observation03"	3	"Control"	10.6454991336279
"observation04"	3	"Control"	11.1723116696362
"observation05"	3	"Control"	10.8838367516602
"observation06"	3	"Control"	10.8125795855108
"observation07"	3	"Control"	10.6265841274377
"observation08"	3	"Treatment"	11.2637715452048
"observation09"	3	"Treatment"	10.5156962989471
"observation10"	3	"Treatment"	10.4540239222194
"observation11"	3	"Treatment"	11.5592681248925
"observation12"	3	"Treatment"	10.8410061989198
"observation13"	3	"Treatment"	11.103734924624
"observation14"	3	"Treatment"	11.0260649614843
"observation01"	4	"Control"	10.6785384654782
"observation02"	4	"Control"	10.2298650208952
"observation03"	4	"Control"	9.50914063366748
"observation04"	4	"Control"	9.45697456626016
"observation05"	4	"Control"	10.7046697178967
"observation06"	4	"Control"	9.70592789289804
"observation07"	4	"Control"	10.5085955401484
"observation08"	4	"Treatment"	10.1317853626015
"observation09"	4	"Treatment"	9.9066987669553
"observation10"	4	"Treatment"	10.3978537580406
