"Observation"	"Variable"	"Group"	"Supergroup"	"Pair"	"Measurement"
"observation01"	1	"control"	"supergroup1"	"pair1"	6.5535798659228
"observation02"	1	"control"	"supergroup1"	"pair1"	7.30092745599281
"observation03"	1	"control"	"supergroup1"	"pair1"	7.44674140642005
"observation04"	1	"control"	"supergroup1"	"pair1"	6.6089192510184
"observation05"	1	"control"	"supergroup1"	"pair2"	6.71852735449858
"observation06"	1	"control"	"supergroup1"	"pair2"	7.74160289696671
"observation07"	1	"control"	"supergroup1"	"pair2"	6.92111395281471
"observation08"	1	"control"	"supergroup1"	"pair2"	6.98790878614081
"observation09"	1	"treatment"	"supergroup1"	"pair1"	6.2950478600178
"observation10"	1	"treatment"	"supergroup1"	"pair1"	7.49442533963719
"observation11"	1	"treatment"	"supergroup1"	"pair1"	7.27184024288062
"observation12"	1	"treatment"	"supergroup1"	"pair1"	7.3995801178207
"observation13"	1	"treatment"	"supergroup1"	"pair2"	6.93490442831064
"observation14"	1	"treatment"	"supergroup1"	"pair2"	6.26148716555768
"observation15"	1	"treatment"	"supergroup1"	"pair2"	7.50579771468154
"observation16"	1	"treatment"	"supergroup1"	"pair2"	7.18819491940563
"observation01"	2	"control"	"supergroup1"	"pair1"	10.0386802548741
"observation02"	2	"control"	"supergroup1"	"pair1"	9.66536600060837
"observation03"	2	"control"	"supergroup1"	"pair1"	10.2497378010974
"observation04"	2	"control"	"supergroup1"	"pair1"	10.0651123022618
"observation05"	2	"control"	"supergroup1"	"pair2"	9.93550022806994
"observation06"	2	"control"	"supergroup1"	"pair2"	9.63830803747351
"observation07"	2	"control"	"supergroup1"	"pair2"	9.92251016350229
"observation08"	2	"control"	"supergroup1"	"pair2"	9.96334769289416
"observation09"	2	"treatment"	"supergroup1"	"pair1"	8.66463189479047
"observation10"	2	"treatment"	"supergroup1"	"pair1"	10.4032116047469
"observation11"	2	"treatment"	"supergroup1"	"pair1"	10.0352418470352
"observation12"	2	"treatment"	"supergroup1"	"pair1"	9.97929037475556
"observation13"	2	"treatment"	"supergroup1"	"pair2"	8.93749904935855
"observation14"	2	"treatment"	"supergroup1"	"pair2"	9.60429197132177
"observation15"	2	"treatment"	"supergroup1"	"pair2"	9.52428651291841
"observation16"	2	"treatment"	"supergroup1"	"pair2"	9.36700614120839
"observation01"	3	"control"	"supergroup1"	"pair1"	10.9492570157739
"observation02"	3	"control"	"supergroup1"	"pair1"	10.9490632156455
"observation03"	3	"control"	"supergroup1"	"pair1"	11.2711464322822
"observation04"	3	"control"	"supergroup1"	"pair1"	10.8548006384299
"observation05"	3	"control"	"supergroup1"	"pair2"	11.5241570167217
"observation06"	3	"control"	"supergroup1"	"pair2"	10.4479854959562
"observation07"	3	"control"	"supergroup1"	"pair2"	10.5271014131758
"observation08"	3	"control"	"supergroup1"	"pair2"	11.3084670566717
"observation09"	3	"treatment"	"supergroup1"	"pair1"	10.695403509352
"observation10"	3	"treatment"	"supergroup1"	"pair1"	11.2133901740684
"observation11"	3	"treatment"	"supergroup1"	"pair1"	11.280535295667
"observation12"	3	"treatment"	"supergroup1"	"pair1"	10.8117620178328
"observation13"	3	"treatment"	"supergroup1"	"pair2"	10.5833855355009
