"Observation"	"Variable"	"Measurement"
"obs01"	"var01"	0.20517699373886
"obs01"	"var02"	0.61793998721987
"obs01"	"var03"	0.957955132471398
"obs01"	"var04"	0.389094623504207
"obs01"	"var05"	0.746051018126309
"obs01"	"var06"	0.978937060572207
"obs01"	"var07"	0.128713018726557
"obs01"	"var08"	0.869833283359185
"obs01"	"var09"	0.0998877461533993
"obs01"	"var10"	0.501040268223733
"obs02"	"var01"	0.171884257812053
"obs02"	"var02"	0.36468204157427
"obs02"	"var03"	0.745851149549708
"obs02"	"var04"	0.582673541968688
"obs02"	"var05"	0.432936029043049
"obs02"	"var06"	0.975851251278073
"obs02"	"var07"	0.604837863938883
"obs02"	"var08"	0.104976973263547
"obs02"	"var09"	0.364424469415098
"obs02"	"var10"	0.808282413054258
"obs03"	"var01"	0.927182471612468
"obs03"	"var02"	0.26109070959501
"obs03"	"var03"	0.844099397305399
"obs03"	"var04"	0.81768519920297
"obs03"	"var05"	0.875131793087348
"obs03"	"var06"	0.0228552580811083
"obs03"	"var07"	0.923638481181115
"obs03"	"var08"	0.79193938174285
"obs03"	"var09"	0.00437171873636544
"obs03"	"var10"	0.967977344058454
"obs04"	"var01"	0.489453426096588
"obs04"	"var02"	0.0876210774295032
"obs04"	"var03"	0.209931310731918
"obs04"	"var04"	0.719798936974257
"obs04"	"var05"	0.078192392596975
"obs04"	"var06"	0.0337382887955755
"obs04"	"var07"	0.435215940000489
"obs04"	"var08"	0.165108403423801
"obs04"	"var09"	0.381101160543039
"obs04"	"var10"	0.974738297052681
"obs05"	"var01"	0.406210086774081
"obs05"	"var02"	0.55065646301955
"obs05"	"var03"	0.195192453218624
"obs05"	"var04"	0.609024617820978
"obs05"	"var05"	0.557954537449405
"obs05"	"var06"	0.565495226532221
"obs05"	"var07"	0.113696121610701
"obs05"	"var08"	0.912714096019045
"obs05"	"var09"	0.948519500670955
"obs05"	"var10"	0.676666046958417
"obs06"	"var01"	0.165404035942629
"obs06"	"var02"	0.135020575486124
"obs06"	"var03"	0.191061696270481
"obs06"	"var04"	0.174150185892358
"obs06"	"var05"	0.402810866711661
"obs06"	"var06"	0.0867189175914973
"obs06"	"var07"	0.0512423596810549
"obs06"	"var08"	0.591683061094955
"obs06"	"var09"	0.557169246487319
"obs06"	"var10"	0.254087888635695
"obs07"	"var01"	0.757042976096272
"obs07"	"var02"	0.0202341408003122
"obs07"	"var03"	0.582211299333721
"obs07"	"var04"	0.540548741817474
"obs07"	"var05"	0.262219019467011
"obs07"	"var06"	0.410868971375749
"obs07"	"var07"	0.354679647833109
"obs07"	"var08"	0.489604872884229
"obs07"	"var09"	0.18780743284151
"obs07"	"var10"	0.798720854101703
"obs08"	"var01"	0.453843241557479
"obs08"	"var02"	0.666288492968306
"obs08"	"var03"	0.827987523749471
"obs08"	"var04"	0.427967861294746
"obs08"	"var05"	0.603255309164524
"obs08"	"var06"	0.0832564553711563
"obs08"	"var07"	0.907884594751522
"obs08"	"var08"	0.00277935271151364
"obs08"	"var09"	0.378020775038749
"obs08"	"var10"	0.835727304918692
"obs09"	"var01"	0.207961233332753
"obs09"	"var02"	0.848295160103589
"obs09"	"var03"	0.365529591683298
"obs09"	"var04"	0.560521335341036
"obs09"	"var05"	0.560093864565715
"obs09"	"var06"	0.492941791424528
"obs09"	"var07"	0.212410452309996
"obs09"	"var08"	0.114619411760941
"obs09"	"var09"	0.50336186401546
"obs09"	"var10"	0.843786380020902
"obs10"	"var01"	0.215858711628243
"obs10"	"var02"	0.299548858078197
"obs10"	"var03"	0.350044798338786
"obs10"	"var04"	0.497239969903603
"obs10"	"var05"	0.854892383562401
"obs10"	"var06"	0.872604948934168
"obs10"	"var07"	0.140496685402468
"obs10"	"var08"	0.0909342688973993
"obs10"	"var09"	0.694004338700324
"obs10"	"var10"	0.238897270523012
