"Observation"	"Variable"	"Measurement"	"Group"
"obs01"	"var01"	38.5409769834951	"group1"
"obs01"	"var02"	10.8773543965071	"group1"
"obs01"	"var03"	40.3868512017652	"group1"
"obs01"	"var04"	71.3866050355136	"group1"
"obs01"	"var05"	40.2661641826853	"group1"
"obs01"	"var06"	17.9463264066726	"group1"
"obs01"	"var07"	84.9508283659816	"group1"
"obs01"	"var08"	61.6427809465677	"group1"
"obs01"	"var09"	1.57121520023793	"group1"
"obs01"	"var10"	96.6645723441616	"group1"
"obs02"	"var01"	80.8780839201063	"group1"
"obs02"	"var02"	0.914249802008271	"group1"
"obs02"	"var03"	51.8436882877722	"group1"
"obs02"	"var04"	81.7980004008859	"group1"
"obs02"	"var05"	51.3495561899617	"group1"
"obs02"	"var06"	98.0444321176037	"group1"
"obs02"	"var07"	23.8133115926757	"group1"
"obs02"	"var08"	2.17311501037329	"group1"
"obs02"	"var09"	16.1698006791994	"group1"
"obs02"	"var10"	90.4392344644293	"group1"
"obs03"	"var01"	31.3783343881369	"group2"
"obs03"	"var02"	31.815570127219	"group2"
"obs03"	"var03"	91.4028874598444	"group2"
"obs03"	"var04"	21.681577898562	"group2"
"obs03"	"var05"	48.6497201491147	"group2"
"obs03"	"var06"	80.6088301818818	"group2"
"obs03"	"var07"	42.3300083028153	"group2"
"obs03"	"var08"	87.1285363798961	"group2"
"obs03"	"var09"	50.8569214027375	"group2"
"obs03"	"var10"	9.42507900763303	"group2"
"obs04"	"var01"	15.7566238893196	"group2"
"obs04"	"var02"	34.315949678421	"group2"
"obs04"	"var03"	92.6784565905109	"group2"
"obs04"	"var04"	49.3623951682821	"group2"
"obs04"	"var05"	26.0756311239675	"group2"
"obs04"	"var06"	38.2529165828601	"group2"
"obs04"	"var07"	21.6104604303837	"group2"
"obs04"	"var08"	76.4234075089917	"group2"
"obs04"	"var09"	75.655644480139	"group2"
"obs04"	"var10"	66.7880788212642	"group2"
"obs05"	"var01"	26.0804755846038	"group3"
"obs05"	"var02"	20.7491502165794	"group3"
"obs05"	"var03"	79.1102145100012	"group3"
"obs05"	"var04"	66.1809588083997	"group3"
"obs05"	"var05"	7.58698100689799	"group3"
"obs05"	"var06"	51.3347622938454	"group3"
"obs05"	"var07"	90.428875759244	"group3"
"obs05"	"var08"	2.33390389475971	"group3"
"obs05"	"var09"	44.3455872824416	"group3"
"obs05"	"var10"	35.3695965837687	"group3"
"obs06"	"var01"	67.6005377667025	"group3"
"obs06"	"var02"	0.917679048143327	"group3"
"obs06"	"var03"	64.7211764939129	"group3"
"obs06"	"var04"	14.8169453954324	"group3"
"obs06"	"var05"	16.225262125954	"group3"
"obs06"	"var06"	83.0037521198392	"group3"
"obs06"	"var07"	86.5030678920448	"group3"
"obs06"	"var08"	33.1344306934625	"group3"
"obs06"	"var09"	85.3260913398117	"group3"
"obs06"	"var10"	42.3587621655315	"group3"
"obs07"	"var01"	72.2081845859066	"group4"
"obs07"	"var02"	32.6309728669003	"group4"
"obs07"	"var03"	13.6848184512928	"group4"
"obs07"	"var04"	68.1052030762658	"group4"
"obs07"	"var05"	55.8696534251794	"group4"
"obs07"	"var06"	37.1465313481167	"group4"
"obs07"	"var07"	5.01272468827665	"group4"
"obs07"	"var08"	48.2544070808217	"group4"
"obs07"	"var09"	68.7869760440663	"group4"
"obs07"	"var10"	61.9264169828966	"group4"
"obs08"	"var01"	82.587150647305	"group4"
"obs08"	"var02"	28.3118196995929	"group4"
"obs08"	"var03"	89.5837072050199	"group4"
"obs08"	"var04"	65.8149523893371	"group4"
"obs08"	"var05"	21.5543986298144	"group4"
"obs08"	"var06"	62.1065207291394	"group4"
"obs08"	"var07"	72.6975823752582	"group4"
"obs08"	"var08"	19.099768390879	"group4"
"obs08"	"var09"	26.4224510174245	"group4"
"obs08"	"var10"	48.6600494943559	"group4"
"obs09"	"var01"	19.945489638485	"group5"
"obs09"	"var02"	36.9103079661727	"group5"
"obs09"	"var03"	22.811156953685	"group5"
"obs09"	"var04"	16.8136674677953	"group5"
"obs09"	"var05"	60.0098475348204	"group5"
"obs09"	"var06"	31.3145864987746	"group5"
"obs09"	"var07"	98.3335097786039	"group5"
"obs09"	"var08"	6.67474828660488	"group5"
"obs09"	"var09"	99.2377881892025	"group5"
"obs09"	"var10"	14.0823816182092	"group5"
"obs10"	"var01"	19.5572644704953	"group5"
"obs10"	"var02"	74.0987042663619	"group5"
"obs10"	"var03"	75.2499836031348	"group5"
"obs10"	"var04"	38.1032686447725	"group5"
"obs10"	"var05"	44.8814842384309	"group5"
"obs10"	"var06"	76.4098056359217	"group5"
"obs10"	"var07"	28.5431665368378	"group5"
"obs10"	"var08"	52.4898811243474	"group5"
"obs10"	"var09"	47.4727295804769	"group5"
"obs10"	"var10"	48.8323285710067	"group5"
