"Variable"	"Observation"	"Group"	"Series"	"Measurement"
"var01"	"obs01"	"group01"	1	0.576856756117195
"var02"	"obs01"	"group01"	1	0.259272265480831
"var03"	"obs01"	"group01"	1	0.195841925451532
"var04"	"obs01"	"group01"	1	0.700198432896286
"var05"	"obs01"	"group01"	1	0.316517726983875
"var06"	"obs01"	"group01"	1	0.324821360176429
"var07"	"obs01"	"group01"	1	0.462660377612337
"var08"	"obs01"	"group01"	1	0.933520488673821
"var09"	"obs01"	"group01"	1	0.0398124963976443
"var10"	"obs01"	"group01"	1	0.901929338462651
"var01"	"obs02"	"group02"	1	0.248086128849536
"var02"	"obs02"	"group02"	1	0.918860897421837
"var03"	"obs02"	"group02"	1	0.119609499583021
"var04"	"obs02"	"group02"	1	0.904746632790193
"var05"	"obs02"	"group02"	1	0.885958177037537
"var06"	"obs02"	"group02"	1	0.41911226301454
"var07"	"obs02"	"group02"	1	0.00580300507135689
"var08"	"obs02"	"group02"	1	0.583821897627786
"var09"	"obs02"	"group02"	1	0.975791621021926
"var10"	"obs02"	"group02"	1	0.569236917421222
"var01"	"obs03"	"group03"	1	0.820451914798468
"var02"	"obs03"	"group03"	1	0.85510360240005
"var03"	"obs03"	"group03"	1	0.647580438992009
"var04"	"obs03"	"group03"	1	0.550785787869245
"var05"	"obs03"	"group03"	1	0.130892324028537
"var06"	"obs03"	"group03"	1	0.663618453312665
"var07"	"obs03"	"group03"	1	0.0499789100140333
"var08"	"obs03"	"group03"	1	0.421548747690395
"var09"	"obs03"	"group03"	1	0.143163959728554
"var10"	"obs03"	"group03"	1	0.855562237557024
"var01"	"obs04"	"group04"	1	0.977389585692436
"var02"	"obs04"	"group04"	1	0.137843622127548
"var03"	"obs04"	"group04"	1	0.518433476099744
"var04"	"obs04"	"group04"	1	0.573877739487216
"var05"	"obs04"	"group04"	1	0.919171762885526
"var06"	"obs04"	"group04"	1	0.237896147184074
"var07"	"obs04"	"group04"	1	0.436312363483012
"var08"	"obs04"	"group04"	1	0.104553876677528
"var09"	"obs04"	"group04"	1	0.495586016448215
"var10"	"obs04"	"group04"	1	0.585182092152536
"var01"	"obs05"	"group05"	1	0.873839401407167
"var02"	"obs05"	"group05"	1	0.0584673136472702
"var03"	"obs05"	"group05"	1	0.390701609896496
"var04"	"obs05"	"group05"	1	0.838512819493189
"var05"	"obs05"	"group05"	1	0.78873063926585
"var06"	"obs05"	"group05"	1	0.670005005318671
"var07"	"obs05"	"group05"	1	0.233519841451198
"var08"	"obs05"	"group05"	1	0.441782547859475
"var09"	"obs05"	"group05"	1	0.11398609704338
"var10"	"obs05"	"group05"	1	0.42966739484109
"var01"	"obs06"	"group06"	1	0.752468158490956
"var02"	"obs06"	"group06"	1	0.901076251640916
"var03"	"obs06"	"group06"	1	0.415643776301295
"var04"	"obs06"	"group06"	1	0.0465230469126254
"var05"	"obs06"	"group06"	1	0.463108598254621
"var06"	"obs06"	"group06"	1	0.481243084650487
"var07"	"obs06"	"group06"	1	0.311751518864185
"var08"	"obs06"	"group06"	1	0.224728954955935
"var09"	"obs06"	"group06"	1	0.106906670844182
"var10"	"obs06"	"group06"	1	0.63546031806618
"var01"	"obs07"	"group07"	1	0.695315127493814
"var02"	"obs07"	"group07"	1	0.549413905944675
"var03"	"obs07"	"group07"	1	0.624344269977883
"var04"	"obs07"	"group07"	1	0.656771004199982
"var05"	"obs07"	"group07"	1	0.748935593059286
"var06"	"obs07"	"group07"	1	0.422033404000103
"var07"	"obs07"	"group07"	1	0.969730210956186
"var08"	"obs07"	"group07"	1	0.806014201138169
"var09"	"obs07"	"group07"	1	0.888055425137281
"var10"	"obs07"	"group07"	1	0.449475260917097
"var01"	"obs08"	"group08"	1	0.637138440040872
"var02"	"obs08"	"group08"	1	0.933980103116482
"var03"	"obs08"	"group08"	1	0.648563895840198
"var04"	"obs08"	"group08"	1	0.93404678767547
"var05"	"obs08"	"group08"	1	0.288191430503502
"var06"	"obs08"	"group08"	1	0.871782367350534
"var07"	"obs08"	"group08"	1	0.832409413997084
"var08"	"obs08"	"group08"	1	0.165576458908617
"var09"	"obs08"	"group08"	1	0.141403561923653
"var10"	"obs08"	"group08"	1	0.332545281620696
"var01"	"obs09"	"group09"	1	0.301756456959993
"var02"	"obs09"	"group09"	1	0.277647314127535
"var03"	"obs09"	"group09"	1	0.31249623815529
"var04"	"obs09"	"group09"	1	0.912687444360927
"var05"	"obs09"	"group09"	1	0.75599872530438
"var06"	"obs09"	"group09"	1	0.368676144862548
"var07"	"obs09"	"group09"	1	0.43464499572292
"var08"	"obs09"	"group09"	1	0.946888830047101
"var09"	"obs09"	"group09"	1	0.90280382707715
"var10"	"obs09"	"group09"	1	0.786540884990245
