"Variable"	"Observation"	"Group"	"Series"	"Measurement"
"var01"	"obs01"	"group01"	1	0.142383656930178
"var02"	"obs01"	"group01"	1	0.169659672072157
"var03"	"obs01"	"group01"	1	0.655761205358431
"var04"	"obs01"	"group01"	1	0.446832602610812
"var05"	"obs01"	"group01"	1	0.9177887046244
"var06"	"obs01"	"group01"	1	0.313876905944198
"var07"	"obs01"	"group01"	1	0.716679377248511
"var08"	"obs01"	"group01"	1	0.59077040059492
"var09"	"obs01"	"group01"	1	0.81370768812485
"var10"	"obs01"	"group01"	1	0.649115230888128
"var01"	"obs02"	"group02"	1	0.37088555842638
"var02"	"obs02"	"group02"	1	0.31312577938661
"var03"	"obs02"	"group02"	1	0.987345998873934
"var04"	"obs02"	"group02"	1	0.543633966473863
"var05"	"obs02"	"group02"	1	0.27400607150048
"var06"	"obs02"	"group02"	1	0.3766237385571
"var07"	"obs02"	"group02"	1	0.220577538246289
"var08"	"obs02"	"group02"	1	0.37005153298378
"var09"	"obs02"	"group02"	1	0.150754963746294
"var10"	"obs02"	"group02"	1	0.198513671755791
"var01"	"obs03"	"group03"	1	0.042602855945006
"var02"	"obs03"	"group03"	1	0.798330103745684
"var03"	"obs03"	"group03"	1	0.985687025822699
"var04"	"obs03"	"group03"	1	0.804545264691114
"var05"	"obs03"	"group03"	1	0.682879609521478
"var06"	"obs03"	"group03"	1	0.646780096227303
"var07"	"obs03"	"group03"	1	0.809685471234843
"var08"	"obs03"	"group03"	1	0.216025443281978
"var09"	"obs03"	"group03"	1	0.0616891959216446
"var10"	"obs03"	"group03"	1	0.165211096871644
"var01"	"obs04"	"group04"	1	0.802491820650175
"var02"	"obs04"	"group04"	1	0.0916264979168773
"var03"	"obs04"	"group04"	1	0.899441986111924
"var04"	"obs04"	"group04"	1	0.85518665262498
"var05"	"obs04"	"group04"	1	0.590974440099671
"var06"	"obs04"	"group04"	1	0.954104527365416
"var07"	"obs04"	"group04"	1	0.00316507183015347
"var08"	"obs04"	"group04"	1	0.602274200180545
"var09"	"obs04"	"group04"	1	0.490573232062161
"var10"	"obs04"	"group04"	1	0.102682099211961
"var01"	"obs05"	"group05"	1	0.899752408033237
"var02"	"obs05"	"group05"	1	0.381819793954492
"var03"	"obs05"	"group05"	1	0.744357079267502
"var04"	"obs05"	"group05"	1	0.443072530208156
"var05"	"obs05"	"group05"	1	0.419902610825375
"var06"	"obs05"	"group05"	1	0.261930713197216
"var07"	"obs05"	"group05"	1	0.0270486501976848
"var08"	"obs05"	"group05"	1	0.0559277508873492
"var09"	"obs05"	"group05"	1	0.361205236986279
"var10"	"obs05"	"group05"	1	0.856071383692324
"var01"	"obs06"	"group06"	1	0.541819093748927
"var02"	"obs06"	"group06"	1	0.792790374951437
"var03"	"obs06"	"group06"	1	0.34672814514488
"var04"	"obs06"	"group06"	1	0.179574144771323
"var05"	"obs06"	"group06"	1	0.0436532034073025
"var06"	"obs06"	"group06"	1	0.941961631411687
"var07"	"obs06"	"group06"	1	0.836968967458233
"var08"	"obs06"	"group06"	1	0.526207841001451
"var09"	"obs06"	"group06"	1	0.497195897623897
"var10"	"obs06"	"group06"	1	0.938118437072262
"var01"	"obs07"	"group07"	1	0.920598787721246
"var02"	"obs07"	"group07"	1	0.919016959378496
"var03"	"obs07"	"group07"	1	0.554668698227033
"var04"	"obs07"	"group07"	1	0.154229376930743
"var05"	"obs07"	"group07"	1	0.529113739496097
"var06"	"obs07"	"group07"	1	0.590261059813201
"var07"	"obs07"	"group07"	1	0.781978126382455
"var08"	"obs07"	"group07"	1	0.155094276182353
"var09"	"obs07"	"group07"	1	0.923640554072335
"var10"	"obs07"	"group07"	1	0.845577857457101
"var01"	"obs08"	"group08"	1	0.492146124364808
"var02"	"obs08"	"group08"	1	0.360247469507158
"var03"	"obs08"	"group08"	1	0.675662119872868
"var04"	"obs08"	"group08"	1	0.736803431529552
"var05"	"obs08"	"group08"	1	0.0763561797793955
"var06"	"obs08"	"group08"	1	0.376788198249415
"var07"	"obs08"	"group08"	1	0.271490421844646
"var08"	"obs08"	"group08"	1	0.486681830603629
"var09"	"obs08"	"group08"	1	0.356389692984521
"var10"	"obs08"	"group08"	1	0.880394801963121
"var01"	"obs09"	"group09"	1	0.09955989359878
"var02"	"obs09"	"group09"	1	0.785876479698345
"var03"	"obs09"	"group09"	1	0.58869467722252
"var04"	"obs09"	"group09"	1	0.116142263868824
"var05"	"obs09"	"group09"	1	0.36817515315488
"var06"	"obs09"	"group09"	1	0.222978836623952
"var07"	"obs09"	"group09"	1	0.337325523607433
"var08"	"obs09"	"group09"	1	0.374413682147861
"var09"	"obs09"	"group09"	1	0.353335166350007
"var10"	"obs09"	"group09"	1	0.778982440708205
"var01"	"obs10"	"group10"	1	0.980138425948098
"var02"	"obs10"	"group10"	1	0.488214024342597
"var03"	"obs10"	"group10"	1	0.320817439351231
"var04"	"obs10"	"group10"	1	0.244242029264569
"var05"	"obs10"	"group10"	1	0.772972845472395
"var06"	"obs10"	"group10"	1	0.750182746909559
"var07"	"obs10"	"group10"	1	0.931875361828133
"var08"	"obs10"	"group10"	1	0.36945013795048
"var09"	"obs10"	"group10"	1	0.414963609538972
"var10"	"obs10"	"group10"	1	0.338810529094189
"var01"	"obs11"	"group01"	2	0.394098813412711
"var02"	"obs11"	"group01"	2	0.871309948153794
"var03"	"obs11"	"group01"	2	0.465560172218829
"var04"	"obs11"	"group01"	2	0.396069033071399
"var05"	"obs11"	"group01"	2	0.491480373544618
"var06"	"obs11"	"group01"	2	0.413428776431829
"var07"	"obs11"	"group01"	2	0.809275842271745
"var08"	"obs11"	"group01"	2	0.572137315291911
"var09"	"obs11"	"group01"	2	0.423192515736446
"var10"	"obs11"	"group01"	2	0.359820718178526
"var01"	"obs12"	"group02"	2	0.196393035817891
"var02"	"obs12"	"group02"	2	0.443074684590101
"var03"	"obs12"	"group02"	2	0.194957579253241
"var04"	"obs12"	"group02"	2	0.437874593539163
"var05"	"obs12"	"group02"	2	0.45716951880604
"var06"	"obs12"	"group02"	2	0.482280763331801
"var07"	"obs12"	"group02"	2	0.522410648409277
"var08"	"obs12"	"group02"	2	0.210331695619971
"var09"	"obs12"	"group02"	2	0.729898660210893
"var10"	"obs12"	"group02"	2	0.665152268251404
"var01"	"obs13"	"group03"	2	0.838479299563915
"var02"	"obs13"	"group03"	2	0.549155135639012
"var03"	"obs13"	"group03"	2	0.43109775846824
"var04"	"obs13"	"group03"	2	0.997752918861806
"var05"	"obs13"	"group03"	2	0.794351540505886
"var06"	"obs13"	"group03"	2	0.53078424395062
"var07"	"obs13"	"group03"	2	0.164078650996089
"var08"	"obs13"	"group03"	2	0.771295771002769
"var09"	"obs13"	"group03"	2	0.651740929111838
"var10"	"obs13"	"group03"	2	0.814475974766538
"var01"	"obs14"	"group04"	2	0.616316576022655
