"Variable"	"Observation"	"Group"	"Series"	"Measurement"	"Measurement2"
"var01"	"obs001"	"group01"	1	0.366618067957461	0.0427841600961983
"var02"	"obs002"	"group01"	1	0.750603807624429	0.0285028076497838
"var03"	"obs003"	"group01"	1	0.911761331139132	0.052560520125553
"var04"	"obs004"	"group01"	1	0.0546733317896724	0.0656005310127512
"var05"	"obs005"	"group01"	1	0.576451803557575	0.0661279991036281
"var06"	"obs006"	"group01"	1	0.276058600284159	0.0237712153699249
"var07"	"obs007"	"group01"	1	0.0465127637144178	0.0965075834421441
"var08"	"obs008"	"group01"	1	0.9530119006522	0.087463935627602
"var09"	"obs009"	"group01"	1	0.3390296343714	0.00144487891811877
"var10"	"obs010"	"group01"	1	0.195342119084671	0.0920872260117903
"var01"	"obs011"	"group02"	1	0.0394579896237701	0.00275004552677274
"var02"	"obs012"	"group02"	1	0.37732500419952	0.00125162051990628
"var03"	"obs013"	"group02"	1	0.895808107219636	0.0353244665777311
"var04"	"obs014"	"group02"	1	0.619509340962395	0.0652064014459029
"var05"	"obs015"	"group02"	1	0.497825395548716	0.019221508083865
"var06"	"obs016"	"group02"	1	0.914983081398532	0.0468704892555252
"var07"	"obs017"	"group02"	1	0.607770666247234	0.0816253083990887
"var08"	"obs018"	"group02"	1	0.210491289850324	0.0953207052079961
"var09"	"obs019"	"group02"	1	0.516799910925329	0.0147356119006872
"var10"	"obs020"	"group02"	1	0.765473706647754	0.00744046391919255
"var01"	"obs021"	"group03"	1	0.122943351045251	0.0182822905946523
"var02"	"obs022"	"group03"	1	0.609891352010891	0.0606431232765317
"var03"	"obs023"	"group03"	1	0.994064230471849	0.0376788032939658
"var04"	"obs024"	"group03"	1	0.711099090520293	0.0755899385781959
"var05"	"obs025"	"group03"	1	0.114907016744837	0.0246910766465589
"var06"	"obs026"	"group03"	1	0.248214123072103	0.0395664903335273
"var07"	"obs027"	"group03"	1	0.723151561105624	0.0580907616298646
"var08"	"obs028"	"group03"	1	0.608708731597289	0.0631292816484347
"var09"	"obs029"	"group03"	1	0.83332431782037	0.0707985186716542
"var10"	"obs030"	"group03"	1	0.429587704129517	0.0751265541650355
"var01"	"obs031"	"group04"	1	0.306990517303348	0.0194439012557268
"var02"	"obs032"	"group04"	1	0.151274330448359	0.0776154864113778
"var03"	"obs033"	"group04"	1	0.0189470741897821	0.0146298990352079
"var04"	"obs034"	"group04"	1	0.248093056026846	0.0885789868189022
"var05"	"obs035"	"group04"	1	0.907568101538345	0.0997518573421985
"var06"	"obs036"	"group04"	1	0.877661299658939	0.0941665017278865
"var07"	"obs037"	"group04"	1	0.119325315114111	0.0933421411551535
"var08"	"obs038"	"group04"	1	0.0100190262310207	0.0915040884632617
"var09"	"obs039"	"group04"	1	0.961498051416129	0.0373067163396627
"var10"	"obs040"	"group04"	1	0.278995652450249	0.0320478648878634
"var01"	"obs041"	"group05"	1	0.790648136520758	0.0965711205732077
"var02"	"obs042"	"group05"	1	0.834075125399977	0.00781096997670829
"var03"	"obs043"	"group05"	1	0.37775014503859	0.0153408253798261
"var04"	"obs044"	"group05"	1	0.276028503663838	0.0703598043415695
"var05"	"obs045"	"group05"	1	0.688208262668923	0.00615644671488553
"var06"	"obs046"	"group05"	1	0.801001821411774	0.00344917592592537
"var07"	"obs047"	"group05"	1	0.0415479140356183	0.0992045276332647
"var08"	"obs048"	"group05"	1	0.522342846728861	0.0953532666899264
"var09"	"obs049"	"group05"	1	0.404699150007218	0.0340404859278351
"var10"	"obs050"	"group05"	1	0.616547705372795	0.0515555724268779
"var01"	"obs051"	"group06"	1	0.209104698849842	0.0439440729562193
"var02"	"obs052"	"group06"	1	0.195019214181229	0.048202642868273
"var03"	"obs053"	"group06"	1	0.551551435375586	0.0948260782519355
"var04"	"obs054"	"group06"	1	0.948421637993306	0.0455460070865229
"var05"	"obs055"	"group06"	1	0.945557151921093	0.0749020345741883
"var06"	"obs056"	"group06"	1	0.569410724099725	0.0964153299340978
"var07"	"obs057"	"group06"	1	0.864462090888992	0.0207614722661674
"var08"	"obs058"	"group06"	1	0.973298870492727	0.038084551692009
"var09"	"obs059"	"group06"	1	0.779502414166927	0.0575349703896791
"var10"	"obs060"	"group06"	1	0.763809859054163	0.06449933599215
"var01"	"obs061"	"group07"	1	0.0355341699905694	0.0562046281760558
"var02"	"obs062"	"group07"	1	0.00897548743523657	0.0734312827931717
"var03"	"obs063"	"group07"	1	0.0577398054301739	0.019831452681683
"var04"	"obs064"	"group07"	1	0.706552428659052	0.00248398608528078
"var05"	"obs065"	"group07"	1	0.0422328431159258	0.0616171798435971
"var06"	"obs066"	"group07"	1	0.356555437901989	0.0944739961996675
"var07"	"obs067"	"group07"	1	0.514513916103169	0.0605881418567151
"var08"	"obs068"	"group07"	1	0.510104551678523	0.0223605171311647
"var09"	"obs069"	"group07"	1	0.0339094889350235	0.0201777119887993
"var10"	"obs070"	"group07"	1	0.518519800622016	0.0117157999193296
"var01"	"obs071"	"group08"	1	0.530757237691432	0.0716361888917163
"var02"	"obs072"	"group08"	1	0.597777395043522	0.032127392757684
"var03"	"obs073"	"group08"	1	0.855933123035356	0.0987838809844107
"var04"	"obs074"	"group08"	1	0.247873096959665	0.0377039746847004
"var05"	"obs075"	"group08"	1	0.333072328940034	0.059059389331378
"var06"	"obs076"	"group08"	1	0.511905135121197	0.0722653239499778
"var07"	"obs077"	"group08"	1	0.144795547937974	0.0715270628454164
"var08"	"obs078"	"group08"	1	0.22227955237031	0.0917760349111632
"var09"	"obs079"	"group08"	1	0.636899767676368	0.0640486443182453
"var10"	"obs080"	"group08"	1	0.323947927681729	0.00195810473524034
"var01"	"obs081"	"group09"	1	0.786296881269664	0.0475527588510886
"var02"	"obs082"	"group09"	1	0.548229470383376	0.0350351868197322
"var03"	"obs083"	"group09"	1	0.454326177015901	0.0669386725639924
"var04"	"obs084"	"group09"	1	0.548273250227794	0.0794408430811018
"var05"	"obs085"	"group09"	1	0.852950202766806	0.060246326867491
"var06"	"obs086"	"group09"	1	0.298360347282141	0.0865710751153529
"var07"	"obs087"	"group09"	1	0.63882786151953	0.039199340925552
"var08"	"obs088"	"group09"	1	0.00314194848760962	0.0830278215929866
"var09"	"obs089"	"group09"	1	0.981210613623261	0.0409992122324184
"var10"	"obs090"	"group09"	1	0.948109287302941	0.0162886250531301
"var01"	"obs091"	"group10"	1	0.129448253661394	0.0587051843991503
"var02"	"obs092"	"group10"	1	0.226172311929986	0.0673800022806972
"var03"	"obs093"	"group10"	1	0.704751203767955	0.0741023095324636
"var04"	"obs094"	"group10"	1	0.844609618885443	0.00525678277481347
"var05"	"obs095"	"group10"	1	0.536090004025027	0.0446030818857253
"var06"	"obs096"	"group10"	1	0.0939813461154699	0.0487510964972898
"var07"	"obs097"	"group10"	1	0.926726284669712	0.0951572892721742
"var08"	"obs098"	"group10"	1	0.712997736874968	0.0969485349021852
"var09"	"obs099"	"group10"	1	0.126046285033226	0.0914207655005157
"var10"	"obs100"	"group10"	1	0.0864520946051925	0.0729133083485067
"var01"	"obs101"	"group01"	2	0.924204282229766	0.00345916307996959
"var02"	"obs102"	"group01"	2	0.869282979285344	0.0200483435997739
"var03"	"obs103"	"group01"	2	0.410674440208822	0.0325464660301805
"var04"	"obs104"	"group01"	2	0.770131574710831	0.0432082547107711
"var05"	"obs105"	"group01"	2	0.1557239247486	0.0371572840726003
"var06"	"obs106"	"group01"	2	0.786932435818017	0.0327958787092939
"var07"	"obs107"	"group01"	2	0.207726867403835	0.032389576989226
"var08"	"obs108"	"group01"	2	0.457144354004413	0.00745731720235199
"var09"	"obs109"	"group01"	2	0.433611684013158	0.0564063657773659
"var10"	"obs110"	"group01"	2	0.271115911658853	0.0943095955532044
"var01"	"obs111"	"group02"	2	0.688113012816757	0.0756691332440823
"var02"	"obs112"	"group02"	2	0.761913886293769	0.0908117294777185
"var03"	"obs113"	"group02"	2	0.0431518375407904	0.0643338509136811
"var04"	"obs114"	"group02"	2	0.157676115166396	0.0327982507180423
"var05"	"obs115"	"group02"	2	0.420175035484135	0.0714889152674004
"var06"	"obs116"	"group02"	2	0.0928810122422874	0.0619176803622395
"var07"	"obs117"	"group02"	2	0.825591103406623	0.0620896299136803
"var08"	"obs118"	"group02"	2	0.442361327121034	0.0402644618647173
"var09"	"obs119"	"group02"	2	0.726516160648316	0.0759438760578632
"var10"	"obs120"	"group02"	2	0.488756434759125	0.0670833222800866
"var01"	"obs121"	"group03"	2	0.300751179922372	0.0405260676052421
"var02"	"obs122"	"group03"	2	0.440725586842746	0.0596234781900421
"var03"	"obs123"	"group03"	2	0.517187892226502	0.0186225863872096
"var04"	"obs124"	"group03"	2	0.36366738169454	0.00908127462025732
"var05"	"obs125"	"group03"	2	0.326237427536398	0.0367870694957674
"var06"	"obs126"	"group03"	2	0.797399188391864	0.0491309214849025
"var07"	"obs127"	"group03"	2	0.85077156079933	0.0932788464706391
"var08"	"obs128"	"group03"	2	0.452105151256546	0.0185075102606788
"var09"	"obs129"	"group03"	2	0.424544490175322	0.0452286628773436
"var10"	"obs130"	"group03"	2	0.149868202162907	0.0393055386142805
"var01"	"obs131"	"group04"	2	0.047940325923264	0.0307611623080447
"var02"	"obs132"	"group04"	2	0.589275676058605	0.0520396773470566
"var03"	"obs133"	"group04"	2	0.395992708858103	0.0401705400552601
"var04"	"obs134"	"group04"	2	0.981042472179979	0.0842458753380925
"var05"	"obs135"	"group04"	2	0.831761200213805	0.0685059724608436
"var06"	"obs136"	"group04"	2	0.724763533798978	0.0719598344061524
"var07"	"obs137"	"group04"	2	0.451499230228364	0.0653213795972988
"var08"	"obs138"	"group04"	2	0.432884373702109	0.0564797033555806
"var09"	"obs139"	"group04"	2	0.228522904217243	0.0658969028620049
"var10"	"obs140"	"group04"	2	0.435116200475022	0.0658956341678277
"var01"	"obs141"	"group05"	2	0.784241470042616	0.0365085696335882
"var02"	"obs142"	"group05"	2	0.89817901304923	0.0242052936693653
"var03"	"obs143"	"group05"	2	0.0283636630047113	0.0645314412424341
"var04"	"obs144"	"group05"	2	0.176288469461724	0.0533718703314662
"var05"	"obs145"	"group05"	2	0.436984895262867	0.0617395790992305
"var06"	"obs146"	"group05"	2	0.578681531129405	0.0707475498085842
"var07"	"obs147"	"group05"	2	0.876172981690615	0.0784819446736947
"var08"	"obs148"	"group05"	2	0.953995949588716	0.00318589394446462
"var09"	"obs149"	"group05"	2	0.983331465627998	0.0504942692117766
"var10"	"obs150"	"group05"	2	0.871263727545738	0.0290446423925459
"var01"	"obs151"	"group06"	2	0.165387651184574	0.0979928694432601
"var02"	"obs152"	"group06"	2	0.492279050406069	0.00648115165531635
"var03"	"obs153"	"group06"	2	0.366278339875862	0.00164173357188702
"var04"	"obs154"	"group06"	2	0.567859297851101	0.0570019412320107
"var05"	"obs155"	"group06"	2	0.536187983583659	0.0254082581261173
"var06"	"obs156"	"group06"	2	0.896252953447402	0.0420613212510943
"var07"	"obs157"	"group06"	2	0.396086114225909	0.067202638857998
"var08"	"obs158"	"group06"	2	0.954340023221448	0.0121800438500941
"var09"	"obs159"	"group06"	2	0.164575228467584	0.00720831733196974
"var10"	"obs160"	"group06"	2	0.869130701525137	0.0343357126927003
"var01"	"obs161"	"group07"	2	0.811384506057948	0.00356456672307104
"var02"	"obs162"	"group07"	2	0.388716187560931	0.0718080896185711
"var03"	"obs163"	"group07"	2	0.894674109527841	0.0700401567388326
"var04"	"obs164"	"group07"	2	0.365793916862458	0.0630179101135582
"var05"	"obs165"	"group07"	2	0.0698685145471245	0.0768682938767597
"var06"	"obs166"	"group07"	2	0.17366186180152	0.0506261822069064
"var07"	"obs167"	"group07"	2	0.554992120945826	0.0169603700516745
"var08"	"obs168"	"group07"	2	0.945972004439682	0.0395250759553164
"var09"	"obs169"	"group07"	2	0.48231289954856	0.01306256595999
"var10"	"obs170"	"group07"	2	0.461829438339919	0.0235934121068567
"var01"	"obs171"	"group08"	2	0.781418889993802	0.0898453667759895
"var02"	"obs172"	"group08"	2	0.482877186732367	0.0233446513768286
"var03"	"obs173"	"group08"	2	0.75446352455765	0.0444642688380554
"var04"	"obs174"	"group08"	2	0.41954280086793	0.0964528540382162
"var05"	"obs175"	"group08"	2	0.0289886621758342	0.0787563691614196
"var06"	"obs176"	"group08"	2	0.802375477040187	0.031343299197033
"var07"	"obs177"	"group08"	2	0.359413336729631	0.0181286768056452
"var08"	"obs178"	"group08"	2	0.46051101363264	0.0880162881920114
"var09"	"obs179"	"group08"	2	0.606925667263567	0.0201485871104524
"var10"	"obs180"	"group08"	2	0.831906772218645	0.0655132186831906
"var01"	"obs181"	"group09"	2	0.0568639489356428	0.0503948336699978
"var02"	"obs182"	"group09"	2	0.90342594566755	0.0306154191028327
"var03"	"obs183"	"group09"	2	0.600499712396413	0.0125673679867759
"var04"	"obs184"	"group09"	2	0.544967388501391	0.0790413636947051
"var05"	"obs185"	"group09"	2	0.862239629263058	0.0688563379226252
"var06"	"obs186"	"group09"	2	0.591812361031771	0.00366589010227472
"var07"	"obs187"	"group09"	2	0.537586961640045	0.0675724198576063
"var08"	"obs188"	"group09"	2	0.529628588352352	0.0547194765182212
"var09"	"obs189"	"group09"	2	0.0190109899267554	0.00638822535984218
"var10"	"obs190"	"group09"	2	0.333065075334162	0.0425438727485016
"var01"	"obs191"	"group10"	2	0.199275078019127	0.0269988855347037
"var02"	"obs192"	"group10"	2	0.428677347255871	0.042582383332774
"var03"	"obs193"	"group10"	2	0.158251123502851	0.049070298159495
"var04"	"obs194"	"group10"	2	0.295310002053156	0.0244183113798499
"var05"	"obs195"	"group10"	2	0.465667023090646	0.010793169029057
"var06"	"obs196"	"group10"	2	0.802598246606067	0.0758740754099563
"var07"	"obs197"	"group10"	2	0.665733689209446	0.0117852964671329
"var08"	"obs198"	"group10"	2	0.714870963711292	0.0444117993349209
"var09"	"obs199"	"group10"	2	0.0372402288485318	0.0327498777303845
"var10"	"obs200"	"group10"	2	0.037121951347217	0.0827270945301279
"var01"	"obs201"	"group01"	3	0.134908332955092	0.0239138070261106
"var02"	"obs202"	"group01"	3	0.479236875660717	0.0823481514584273
"var03"	"obs203"	"group01"	3	0.465310811297968	0.0938247253187001
"var04"	"obs204"	"group01"	3	0.618575804168358	0.0886906161438674
"var05"	"obs205"	"group01"	3	0.339158276794478	0.0975247359601781
"var06"	"obs206"	"group01"	3	0.515564785571769	0.0115051931701601
"var07"	"obs207"	"group01"	3	0.233511453960091	0.0395161879714578
"var08"	"obs208"	"group01"	3	0.199058387894183	0.0506387485656887
"var09"	"obs209"	"group01"	3	0.875518961576745	0.0267284783301875
"var10"	"obs210"	"group01"	3	0.790633131517097	0.0370258402312174
"var01"	"obs211"	"group02"	3	0.515888650435954	0.0137864259071648
"var02"	"obs212"	"group02"	3	0.360247736098245	0.0535206665052101
"var03"	"obs213"	"group02"	3	0.752184364479035	0.0998379363911227
