"Observation"	"Variable"	"Measurement"	"Group"	"Supergroup"
"obs01"	"var01"	0.398140457691625	"control"	"supergroup1"
"obs01"	"var02"	0.916724629001692	"control"	"supergroup1"
"obs01"	"var03"	0.543460396584123	"control"	"supergroup1"
"obs01"	"var04"	0.388376044807956	"control"	"supergroup1"
"obs01"	"var05"	0.999893250409514	"control"	"supergroup1"
"obs01"	"var06"	0.844154376070946	"control"	"supergroup1"
"obs01"	"var07"	0.286099990829825	"control"	"supergroup1"
"obs01"	"var08"	0.365699396468699	"control"	"supergroup1"
"obs01"	"var09"	0.758601329289377	"control"	"supergroup1"
"obs01"	"var10"	0.464026000350714	"control"	"supergroup1"
"obs02"	"var01"	0.484385211020708	"control"	"supergroup1"
"obs02"	"var02"	0.363225847715512	"control"	"supergroup1"
"obs02"	"var03"	0.151757542509586	"control"	"supergroup1"
"obs02"	"var04"	0.212384696351364	"control"	"supergroup1"
"obs02"	"var05"	0.861222883686423	"control"	"supergroup1"
"obs02"	"var06"	0.00539114652201533	"control"	"supergroup1"
"obs02"	"var07"	0.965312475571409	"control"	"supergroup1"
"obs02"	"var08"	0.390525014605373	"control"	"supergroup1"
"obs02"	"var09"	0.714866122230887	"control"	"supergroup1"
"obs02"	"var10"	0.394236376974732	"control"	"supergroup1"
"obs03"	"var01"	0.134603153448552	"control"	"supergroup1"
"obs03"	"var02"	0.50949092162773	"control"	"supergroup1"
"obs03"	"var03"	0.192814024630934	"control"	"supergroup1"
"obs03"	"var04"	0.685957603389397	"control"	"supergroup1"
"obs03"	"var05"	0.00631670327857137	"control"	"supergroup1"
"obs03"	"var06"	0.809164623729885	"control"	"supergroup1"
"obs03"	"var07"	0.457295996369794	"control"	"supergroup1"
"obs03"	"var08"	0.801198514411226	"control"	"supergroup1"
"obs03"	"var09"	0.732828741893172	"control"	"supergroup1"
"obs03"	"var10"	0.650992832379416	"control"	"supergroup1"
"obs04"	"var01"	0.29963269457221	"control"	"supergroup1"
"obs04"	"var02"	0.952431786106899	"control"	"supergroup1"
"obs04"	"var03"	0.30138396192342	"control"	"supergroup1"
"obs04"	"var04"	0.365252323215827	"control"	"supergroup1"
"obs04"	"var05"	0.918906544800848	"control"	"supergroup1"
"obs04"	"var06"	0.751458071637899	"control"	"supergroup1"
"obs04"	"var07"	0.24832483031787	"control"	"supergroup1"
"obs04"	"var08"	0.214340168749914	"control"	"supergroup1"
"obs04"	"var09"	0.665269112912938	"control"	"supergroup1"
"obs04"	"var10"	0.0313849169760942	"control"	"supergroup1"
"obs05"	"var01"	0.757440276443958	"control"	"supergroup1"
"obs05"	"var02"	0.693775392137468	"control"	"supergroup1"
"obs05"	"var03"	0.601854935754091	"control"	"supergroup1"
"obs05"	"var04"	0.127857589162886	"control"	"supergroup1"
"obs05"	"var05"	0.100724303629249	"control"	"supergroup1"
"obs05"	"var06"	0.295300267171115	"control"	"supergroup1"
"obs05"	"var07"	0.381495419424027	"control"	"supergroup1"
"obs05"	"var08"	0.107089454308152	"control"	"supergroup1"
"obs05"	"var09"	0.812549446476623	"control"	"supergroup1"
"obs05"	"var10"	0.705119150923565	"control"	"supergroup1"
"obs06"	"var01"	0.410746152047068	"treatment"	"supergroup1"
"obs06"	"var02"	0.376693008234724	"treatment"	"supergroup1"
"obs06"	"var03"	0.582373291254044	"treatment"	"supergroup1"
"obs06"	"var04"	0.938556382898241	"treatment"	"supergroup1"
"obs06"	"var05"	0.545126682845876	"treatment"	"supergroup1"
"obs06"	"var06"	0.867880245903507	"treatment"	"supergroup1"
"obs06"	"var07"	0.876142645953223	"treatment"	"supergroup1"
"obs06"	"var08"	0.52920429687947	"treatment"	"supergroup1"
"obs06"	"var09"	0.791920975549147	"treatment"	"supergroup1"
"obs06"	"var10"	0.364472099114209	"treatment"	"supergroup1"
"obs07"	"var01"	0.950547901447862	"treatment"	"supergroup1"
"obs07"	"var02"	0.742262024665251	"treatment"	"supergroup1"
"obs07"	"var03"	0.989929056260735	"treatment"	"supergroup1"
"obs07"	"var04"	0.702320843935013	"treatment"	"supergroup1"
"obs07"	"var05"	0.913356277626008	"treatment"	"supergroup1"
"obs07"	"var06"	0.660293572815135	"treatment"	"supergroup1"
"obs07"	"var07"	0.662238461431116	"treatment"	"supergroup1"
"obs07"	"var08"	0.0752795408479869	"treatment"	"supergroup1"
"obs07"	"var09"	0.692689097719267	"treatment"	"supergroup1"
"obs07"	"var10"	0.236730630509555	"treatment"	"supergroup1"
"obs08"	"var01"	0.110402221791446	"treatment"	"supergroup1"
"obs08"	"var02"	0.601621368899941	"treatment"	"supergroup1"
"obs08"	"var03"	0.794830671045929	"treatment"	"supergroup1"
"obs08"	"var04"	0.366430811583996	"treatment"	"supergroup1"
"obs08"	"var05"	0.873201926704496	"treatment"	"supergroup1"
"obs08"	"var06"	0.755394013365731	"treatment"	"supergroup1"
"obs08"	"var07"	0.885171423200518	"treatment"	"supergroup1"
"obs08"	"var08"	0.699376784963533	"treatment"	"supergroup1"
"obs08"	"var09"	0.230039060348645	"treatment"	"supergroup1"
"obs08"	"var10"	0.885073389159516	"treatment"	"supergroup1"
"obs09"	"var01"	0.526363249635324	"treatment"	"supergroup1"
"obs09"	"var02"	0.384117777459323	"treatment"	"supergroup1"
"obs09"	"var03"	0.882303175283596	"treatment"	"supergroup1"
"obs09"	"var04"	0.643235129769892	"treatment"	"supergroup1"
"obs09"	"var05"	0.115174196660519	"treatment"	"supergroup1"
"obs09"	"var06"	0.657110148342326	"treatment"	"supergroup1"
