"Observation"	"Variable"	"Measurement"	"Group"
"observation01"	"variable01"	0.155616659205407	"group1"
"observation01"	"variable02"	0.871246917173266	"group1"
"observation01"	"variable03"	0.699704424710944	"group1"
"observation01"	"variable04"	0.868728664005175	"group1"
"observation01"	"variable05"	0.319073456106707	"group1"
"observation01"	"variable06"	0.608600077452138	"group1"
"observation01"	"variable07"	0.915008526062593	"group1"
"observation01"	"variable08"	0.38540548668243	"group1"
"observation01"	"variable09"	0.399962699273601	"group1"
"observation01"	"variable10"	0.244257382350042	"group1"
"observation02"	"variable01"	0.559925214387476	"group1"
"observation02"	"variable02"	0.464206007076427	"group1"
"observation02"	"variable03"	0.135408849688247	"group1"
"observation02"	"variable04"	0.442529397783801	"group1"
"observation02"	"variable05"	0.375339925754815	"group1"
"observation02"	"variable06"	0.428428281098604	"group1"
"observation02"	"variable07"	0.374258143128827	"group1"
"observation02"	"variable08"	0.198584024328738	"group1"
"observation02"	"variable09"	0.751290587708354	"group1"
"observation02"	"variable10"	0.140649532200769	"group1"
"observation03"	"variable01"	0.915715703973547	"group2"
"observation03"	"variable02"	0.364183888072148	"group2"
"observation03"	"variable03"	0.814304892439395	"group2"
"observation03"	"variable04"	0.0316989065613598	"group2"
"observation03"	"variable05"	0.810431806137785	"group2"
"observation03"	"variable06"	0.944455592427403	"group2"
"observation03"	"variable07"	0.956678685033694	"group2"
"observation03"	"variable08"	0.0339642448816448	"group2"
"observation03"	"variable09"	0.963494911091402	"group2"
"observation03"	"variable10"	0.508378627942875	"group2"
"observation04"	"variable01"	0.948252949630842	"group2"
"observation04"	"variable02"	0.399925522739068	"group2"
"observation04"	"variable03"	0.428559291176498	"group2"
"observation04"	"variable04"	0.185868892818689	"group2"
"observation04"	"variable05"	0.563394048716873	"group2"
"observation04"	"variable06"	0.183367409743369	"group2"
"observation04"	"variable07"	0.793851201655343	"group2"
"observation04"	"variable08"	0.346323327859864	"group2"
"observation04"	"variable09"	0.319739456754178	"group2"
"observation04"	"variable10"	0.129309363663197	"group2"
"observation05"	"variable01"	0.377150151645765	"group3"
"observation05"	"variable02"	0.470710389548913	"group3"
"observation05"	"variable03"	0.135968184331432	"group3"
"observation05"	"variable04"	0.755353914108127	"group3"
"observation05"	"variable05"	0.154907590243965	"group3"
"observation05"	"variable06"	0.938462098594755	"group3"
"observation05"	"variable07"	0.264151854906231	"group3"
"observation05"	"variable08"	0.987038464285433	"group3"
"observation05"	"variable09"	0.958960551535711	"group3"
"observation05"	"variable10"	0.592445182846859	"group3"
"observation06"	"variable01"	0.393730246694759	"group3"
"observation06"	"variable02"	0.211114139528945	"group3"
"observation06"	"variable03"	0.256999505218118	"group3"
"observation06"	"variable04"	0.0598740633577108	"group3"
"observation06"	"variable05"	0.146109631517902	"group3"
"observation06"	"variable06"	0.110778514994308	"group3"
"observation06"	"variable07"	0.114349745446816	"group3"
"observation06"	"variable08"	0.115699673537165	"group3"
"observation06"	"variable09"	0.98111765878275	"group3"
"observation06"	"variable10"	0.183120065368712	"group3"
"observation07"	"variable01"	0.927535646595061	"group4"
"observation07"	"variable02"	0.914351134793833	"group4"
"observation07"	"variable03"	0.378514764597639	"group4"
"observation07"	"variable04"	0.291971320053563	"group4"
"observation07"	"variable05"	0.355961100431159	"group4"
"observation07"	"variable06"	0.119495768565685	"group4"
"observation07"	"variable07"	0.384986089775339	"group4"
"observation07"	"variable08"	0.680939192185178	"group4"
"observation07"	"variable09"	0.674535238416865	"group4"
"observation07"	"variable10"	0.461104426067322	"group4"
"observation08"	"variable01"	0.255741990171373	"group4"
"observation08"	"variable02"	0.966398102231324	"group4"
"observation08"	"variable03"	0.3892931654118	"group4"
"observation08"	"variable04"	0.531245781807229	"group4"
"observation08"	"variable05"	0.850917434087023	"group4"
"observation08"	"variable06"	0.953653128584847	"group4"
"observation08"	"variable07"	0.69055476365611	"group4"
"observation08"	"variable08"	0.387211618712172	"group4"
"observation08"	"variable09"	0.965177967678756	"group4"
"observation08"	"variable10"	0.15750384144485	"group4"
"observation09"	"variable01"	0.55267922161147	"group5"
"observation09"	"variable02"	0.163010992575437	"group5"
"observation09"	"variable03"	0.510935742873698	"group5"
"observation09"	"variable04"	0.0880394568666816	"group5"
"observation09"	"variable05"	0.676268844632432	"group5"
"observation09"	"variable06"	0.0902087569702417	"group5"
"observation09"	"variable07"	0.41487971576862	"group5"
"observation09"	"variable08"	0.0170128648169339	"group5"
"observation09"	"variable09"	0.964722720906138	"group5"
"observation09"	"variable10"	0.694334033643827	"group5"
"observation10"	"variable01"	0.950321424985304	"group5"
"observation10"	"variable02"	0.306081682676449	"group5"
"observation10"	"variable03"	0.154301444999874	"group5"
"observation10"	"variable04"	0.567049592500553	"group5"
"observation10"	"variable05"	0.699684785213321	"group5"
"observation10"	"variable06"	0.123203012626618	"group5"
"observation10"	"variable07"	0.360617393162102	"group5"
"observation10"	"variable08"	0.249090100638568	"group5"
"observation10"	"variable09"	0.0838434693869203	"group5"
"observation10"	"variable10"	0.752008069306612	"group5"
