"Variable"	"Observation"	"Group"	"Series"	"Measurement"
"variable01"	"observation001"	"group01"	1	0.477108265040442
"variable02"	"observation002"	"group01"	1	0.148128707893193
"variable03"	"observation003"	"group01"	1	0.749887192388996
"variable04"	"observation004"	"group01"	1	0.273338730214164
"variable05"	"observation005"	"group01"	1	0.480998438084498
"variable06"	"observation006"	"group01"	1	0.0265941862016916
"variable07"	"observation007"	"group01"	1	0.239652590360492
"variable08"	"observation008"	"group01"	1	0.909097076626495
"variable09"	"observation009"	"group01"	1	0.239443113328889
"variable10"	"observation010"	"group01"	1	0.00274551496841013
"variable01"	"observation011"	"group02"	1	0.742848579538986
"variable02"	"observation012"	"group02"	1	0.448795423377305
"variable03"	"observation013"	"group02"	1	0.463501284597442
"variable04"	"observation014"	"group02"	1	0.60437533329241
"variable05"	"observation015"	"group02"	1	0.0606413439381868
"variable06"	"observation016"	"group02"	1	0.682880702894181
"variable07"	"observation017"	"group02"	1	0.736091448226944
"variable08"	"observation018"	"group02"	1	0.764965926995501
"variable09"	"observation019"	"group02"	1	0.145048245089129
"variable10"	"observation020"	"group02"	1	0.325219279620796
"variable01"	"observation021"	"group03"	1	0.360779020469636
"variable02"	"observation022"	"group03"	1	0.479822227731347
"variable03"	"observation023"	"group03"	1	0.4965181928128
"variable04"	"observation024"	"group03"	1	0.631186965852976
"variable05"	"observation025"	"group03"	1	0.786516914376989
"variable06"	"observation026"	"group03"	1	0.173064383910969
"variable07"	"observation027"	"group03"	1	0.74273881316185
"variable08"	"observation028"	"group03"	1	0.0611404611263424
"variable09"	"observation029"	"group03"	1	0.164865453727543
"variable10"	"observation030"	"group03"	1	0.652986765140668
"variable01"	"observation031"	"group04"	1	0.681956397835165
"variable02"	"observation032"	"group04"	1	0.897761795204133
"variable03"	"observation033"	"group04"	1	0.0205089736264199
"variable04"	"observation034"	"group04"	1	0.376396722625941
"variable05"	"observation035"	"group04"	1	0.51861476758495
"variable06"	"observation036"	"group04"	1	0.490396677982062
"variable07"	"observation037"	"group04"	1	0.572079894831404
"variable08"	"observation038"	"group04"	1	0.689534592675045
"variable09"	"observation039"	"group04"	1	0.172764708055183
"variable10"	"observation040"	"group04"	1	0.864365335321054
"variable01"	"observation041"	"group05"	1	0.913009484997019
"variable02"	"observation042"	"group05"	1	0.936171719338745
"variable03"	"observation043"	"group05"	1	0.264740384649485
"variable04"	"observation044"	"group05"	1	0.823632576968521
"variable05"	"observation045"	"group05"	1	0.959633946884423
"variable06"	"observation046"	"group05"	1	0.280981103191152
"variable07"	"observation047"	"group05"	1	0.578476250171661
"variable08"	"observation048"	"group05"	1	0.552770831855014
"variable09"	"observation049"	"group05"	1	0.802665388211608
"variable10"	"observation050"	"group05"	1	0.445090841967613
"variable01"	"observation051"	"group06"	1	0.879476696485654
