"Observation"	"Variable"	"Measurement"	"Group"	"Supergroup"
"observation01"	"variable01"	0.808243709150702	"group1"	"supergroup1"
"observation01"	"variable02"	0.548943212721497	"group1"	"supergroup1"
"observation01"	"variable03"	0.701164516853169	"group1"	"supergroup1"
"observation01"	"variable04"	0.354536777362227	"group1"	"supergroup1"
"observation01"	"variable05"	0.72348100785166	"group1"	"supergroup1"
"observation01"	"variable06"	0.757977118948475	"group1"	"supergroup1"
"observation01"	"variable07"	0.285972270183265	"group1"	"supergroup1"
"observation01"	"variable08"	0.0570102331694216	"group1"	"supergroup1"
"observation01"	"variable09"	0.453424583654851	"group1"	"supergroup1"
"observation01"	"variable10"	0.154896972468123	"group1"	"supergroup1"
"observation02"	"variable01"	0.949244598159567	"group1"	"supergroup1"
"observation02"	"variable02"	0.523088513873518	"group1"	"supergroup1"
"observation02"	"variable03"	0.295122328214347	"group1"	"supergroup1"
"observation02"	"variable04"	0.169254972366616	"group1"	"supergroup1"
"observation02"	"variable05"	0.0270703611895442	"group1"	"supergroup1"
"observation02"	"variable06"	0.334229754982516	"group1"	"supergroup1"
"observation02"	"variable07"	0.174727755598724	"group1"	"supergroup1"
"observation02"	"variable08"	0.556822391459718	"group1"	"supergroup1"
"observation02"	"variable09"	0.547083724057302	"group1"	"supergroup1"
"observation02"	"variable10"	0.057173331733793	"group1"	"supergroup1"
"observation03"	"variable01"	0.420917666517198	"group2"	"supergroup1"
"observation03"	"variable02"	0.359101070323959	"group2"	"supergroup1"
"observation03"	"variable03"	0.879297885112464	"group2"	"supergroup1"
"observation03"	"variable04"	0.702523361658677	"group2"	"supergroup1"
"observation03"	"variable05"	0.106166472658515	"group2"	"supergroup1"
"observation03"	"variable06"	0.529185716295615	"group2"	"supergroup1"
"observation03"	"variable07"	0.0750598639715463	"group2"	"supergroup1"
"observation03"	"variable08"	0.347248602891341	"group2"	"supergroup1"
"observation03"	"variable09"	0.360692115966231	"group2"	"supergroup1"
"observation03"	"variable10"	0.801102078752592	"group2"	"supergroup1"
"observation04"	"variable01"	0.980352292302996	"group2"	"supergroup1"
"observation04"	"variable02"	0.493107511894777	"group2"	"supergroup1"
"observation04"	"variable03"	0.693029214628041	"group2"	"supergroup1"
"observation04"	"variable04"	0.291479292558506	"group2"	"supergroup1"
"observation04"	"variable05"	0.367899146396667	"group2"	"supergroup1"
"observation04"	"variable06"	0.95008148951456	"group2"	"supergroup1"
"observation04"	"variable07"	0.432722986442968	"group2"	"supergroup1"
"observation04"	"variable08"	0.369090649299324	"group2"	"supergroup1"
"observation04"	"variable09"	0.900353920878842	"group2"	"supergroup1"
"observation04"	"variable10"	0.0808674590662122	"group2"	"supergroup1"
"observation05"	"variable01"	0.628679518820718	"group3"	"supergroup1"
