"Observation"	"Variable"	"Measurement"
"observation01"	"variable01"	0.750073800096288
"observation01"	"variable02"	0.274836387019604
"observation01"	"variable03"	0.522604600293562
"observation01"	"variable04"	0.226759125711396
"observation01"	"variable05"	0.647913913941011
"observation01"	"variable06"	0.396488297032192
"observation01"	"variable07"	0.510417152429
"observation01"	"variable08"	0.10936871310696
"observation01"	"variable09"	0.478962484747171
"observation01"	"variable10"	0.263835023157299
"observation02"	"variable01"	0.851704676868394
"observation02"	"variable02"	0.68554579350166
"observation02"	"variable03"	0.541322804056108
"observation02"	"variable04"	0.606420910917222
"observation02"	"variable05"	0.995353410951793
"observation02"	"variable06"	0.670319284778088
"observation02"	"variable07"	0.111579498741776
"observation02"	"variable08"	0.0168614173308015
"observation02"	"variable09"	0.898173729889095
"observation02"	"variable10"	0.640718205599114
"observation03"	"variable01"	0.722229967825115
"observation03"	"variable02"	0.210771832847968
"observation03"	"variable03"	0.169651865260676
"observation03"	"variable04"	0.776443154318258
"observation03"	"variable05"	0.199609152972698
"observation03"	"variable06"	0.909806816838682
"observation03"	"variable07"	0.950985751813278
"observation03"	"variable08"	0.744675449561328
"observation03"	"variable09"	0.410328169353306
"observation03"	"variable10"	0.903481085319072
"observation04"	"variable01"	0.485360330669209
"observation04"	"variable02"	0.452331512933597
"observation04"	"variable03"	0.792398512829095
"observation04"	"variable04"	0.368803585646674
"observation04"	"variable05"	0.434604669222608
"observation04"	"variable06"	0.207251192070544
"observation04"	"variable07"	0.482175508979708
"observation04"	"variable08"	0.457187497289851
"observation04"	"variable09"	0.16009435406886
"observation04"	"variable10"	0.12940785032697
"observation05"	"variable01"	0.944007137557492
"observation05"	"variable02"	0.727721265284345
"observation05"	"variable03"	0.253456641221419
"observation05"	"variable04"	0.438568520592526
"observation05"	"variable05"	0.648089363938197
"observation05"	"variable06"	0.587477961555123
"observation05"	"variable07"	0.484354875516146
"observation05"	"variable08"	0.914565242128447
"observation05"	"variable09"	0.998991923639551
"observation05"	"variable10"	0.987198972143233
"observation06"	"variable01"	0.313234387664124
"observation06"	"variable02"	0.273805253440514
"observation06"	"variable03"	0.185869960580021
"observation06"	"variable04"	0.712309516500682
"observation06"	"variable05"	0.147724812850356
"observation06"	"variable06"	0.360347473062575
"observation06"	"variable07"	0.21979299467057
"observation06"	"variable08"	0.0976026838179678
"observation06"	"variable09"	0.646873081335798
"observation06"	"variable10"	0.0234647651668638
"observation07"	"variable01"	0.909780291840434
"observation07"	"variable02"	0.615285096690059
"observation07"	"variable03"	0.335225663613528
"observation07"	"variable04"	0.380103330360726
"observation07"	"variable05"	0.707515721907839
"observation07"	"variable06"	0.512243514647707
"observation07"	"variable07"	0.838923287345096
"observation07"	"variable08"	0.329688730183989
"observation07"	"variable09"	0.846602575154975
"observation07"	"variable10"	0.218284371541813
"observation08"	"variable01"	0.0162204618100077
"observation08"	"variable02"	0.39897549408488
"observation08"	"variable03"	0.447916012024507
"observation08"	"variable04"	0.414153126766905
"observation08"	"variable05"	0.915648909751326
"observation08"	"variable06"	0.147055753041059
"observation08"	"variable07"	0.248940894147381
"observation08"	"variable08"	0.278041073353961
"observation08"	"variable09"	0.654765199171379
"observation08"	"variable10"	0.189199860207736
"observation09"	"variable01"	0.27922299457714
"observation09"	"variable02"	0.955885925795883
"observation09"	"variable03"	0.141367140924558
"observation09"	"variable04"	0.959089487558231
"observation09"	"variable05"	0.977167409611866
"observation09"	"variable06"	0.438583539100364
"observation09"	"variable07"	0.24504084396176
"observation09"	"variable08"	0.343610542127863
"observation09"	"variable09"	0.441263421438634
"observation09"	"variable10"	0.751498993951827
"observation10"	"variable01"	0.788465548073873
"observation10"	"variable02"	0.50850854231976
"observation10"	"variable03"	0.388228310039267
"observation10"	"variable04"	0.00214145658537745
"observation10"	"variable05"	0.713211846305057
"observation10"	"variable06"	0.309543612645939
"observation10"	"variable07"	0.260676307836547
"observation10"	"variable08"	0.102592540439218
"observation10"	"variable09"	0.464320003753528
"observation10"	"variable10"	0.103047354612499
